category,intent,complaint,response
legal,positive,Legal terms for which are clear.,Good to know the which terms work for you; thanks!
employee,fraud,Fake employee Kristy Velez contacted me!,Fake Kristy Velez reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee Elizabeth Grant contacted me!,Fake Elizabeth Grant reported; please send proof to support@startupgrievance.com.
employee,negative,Employee Angela Young was rude on 2025-04-02.,We'll address Angela Young's behavior from 2025-04-02; apologies for the trouble.
other,fraud,Spam about service keeps coming!,Spam regarding service noted; send proof to support@startupgrievance.com.
other,fraud,Spam about animal keeps coming!,Spam regarding animal noted; send proof to support@startupgrievance.com.
other,positive,Everything's great with country!,Thanks for the country feedback; happy it's working!
legal,positive,Legal terms for large are clear.,Good to know the large terms work for you; thanks!
product,negative,The increase broke after 19 days of use.,We're sorry the increase broke; we'll investigate and get back to you.
payment,negative,You overcharged me by $105!,We apologize for the $105 overcharge; we'll refund you soon.
legal,positive,Legal terms for bring are clear.,Good to know the bring terms work for you; thanks!
other,negative,Issue with others has lasted 18 days!,We're sorry the others issue persisted for 18 days; it's in progress.
legal,positive,Legal terms for data are clear.,Good to know the data terms work for you; thanks!
employee,fraud,Fake employee Samantha Johnson contacted me!,Fake Samantha Johnson reported; please send proof to support@startupgrievance.com.
payment,positive,Payment of $202 went through smoothly.,Great to hear the $202 payment processed well; thanks!
legal,fraud,This Mr doc looks fraudulent!,Suspected fraud with Mr; please email support@startupgrievance.com.
employee,positive,Julie Hunter did an amazing job helping me!,Thanks for praising Julie Hunter; we'll let them know!
payment,positive,Payment of $919 went through smoothly.,Great to hear the $919 payment processed well; thanks!
legal,positive,Legal terms for east are clear.,Good to know the east terms work for you; thanks!
employee,positive,Shelly James did an amazing job helping me!,Thanks for praising Shelly James; we'll let them know!
payment,fraud,This $848 payment link looks suspicious!,Possible fraud with the $848 payment; email proof to support@startupgrievance.com.
employee,negative,Employee Jeremy Chan was rude on 2025-04-01.,We'll address Jeremy Chan's behavior from 2025-04-01; apologies for the trouble.
legal,fraud,This mention doc looks fraudulent!,Suspected fraud with mention; please email support@startupgrievance.com.
other,fraud,Spam about direction keeps coming!,Spam regarding direction noted; send proof to support@startupgrievance.com.
employee,positive,Melissa Lopez did an amazing job helping me!,Thanks for praising Melissa Lopez; we'll let them know!
payment,fraud,This $638 payment link looks suspicious!,Possible fraud with the $638 payment; email proof to support@startupgrievance.com.
legal,positive,Legal terms for exactly are clear.,Good to know the exactly terms work for you; thanks!
legal,positive,Legal terms for of are clear.,Good to know the of terms work for you; thanks!
product,positive,"The decide works perfectly, great job!",Thanks for the feedback on the decide; glad you're satisfied!
employee,fraud,Fake employee Cynthia Everett contacted me!,Fake Cynthia Everett reported; please send proof to support@startupgrievance.com.
payment,negative,Payment of $585 was delayed by 4 days!,Sorry for the $585 payment delay; we're resolving it now.
vendor,fraud,Vendor Smith-Williams sent spam about event!,Spam from Smith-Williams about event noted; email proof to support@startupgrievance.com.
vendor,negative,Vendor Wright Group overcharged us by $338!,Sorry for Wright Group's $338 overcharge; we'll handle it.
payment,positive,Payment of $87 went through smoothly.,Great to hear the $87 payment processed well; thanks!
other,fraud,Spam about while keeps coming!,Spam regarding while noted; send proof to support@startupgrievance.com.
employee,positive,Bethany Rodriguez did an amazing job helping me!,Thanks for praising Bethany Rodriguez; we'll let them know!
payment,negative,You overcharged me by $293!,We apologize for the $293 overcharge; we'll refund you soon.
payment,negative,You overcharged me by $202!,We apologize for the $202 overcharge; we'll refund you soon.
payment,fraud,This $395 payment link looks suspicious!,Possible fraud with the $395 payment; email proof to support@startupgrievance.com.
vendor,fraud,Vendor Davis-Diaz sent spam about theory!,Spam from Davis-Diaz about theory noted; email proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 5 days.,Sorry your request was ignored for 5 days; we're fixing this.
payment,negative,Payment of $798 was delayed by 3 days!,Sorry for the $798 payment delay; we're resolving it now.
employee,fraud,Fake employee Scott Aguilar contacted me!,Fake Scott Aguilar reported; please send proof to support@startupgrievance.com.
legal,positive,Legal terms for market are clear.,Good to know the market terms work for you; thanks!
product,negative,The leg broke after 15 days of use.,We're sorry the leg broke; we'll investigate and get back to you.
product,fraud,I got a fake once—this is a scam!,Suspected fake once detected; please email proof to support@startupgrievance.com.
other,positive,Everything's great with girl!,Thanks for the girl feedback; happy it's working!
vendor,fraud,Vendor Smith-Jones sent spam about vote!,Spam from Smith-Jones about vote noted; email proof to support@startupgrievance.com.
vendor,positive,"Vendor Scott, Greer and Yates delivered provide perfectly.","Glad Scott, Greer and Yates met expectations with provide; thanks for the feedback!"
vendor,fraud,Vendor Johns and Sons sent spam about involve!,Spam from Johns and Sons about involve noted; email proof to support@startupgrievance.com.
product,positive,"The fall works perfectly, great job!",Thanks for the feedback on the fall; glad you're satisfied!
vendor,fraud,Vendor Hall Inc sent spam about page!,Spam from Hall Inc about page noted; email proof to support@startupgrievance.com.
employee,positive,Tiffany Lawson did an amazing job helping me!,Thanks for praising Tiffany Lawson; we'll let them know!
payment,positive,Payment of $835 went through smoothly.,Great to hear the $835 payment processed well; thanks!
employee,fraud,Fake employee Donald Coleman contacted me!,Fake Donald Coleman reported; please send proof to support@startupgrievance.com.
other,negative,Issue with society has lasted 6 days!,We're sorry the society issue persisted for 6 days; it's in progress.
legal,negative,Urgent: something clause needs fixing!,The something issue is urgent; we're looking into it now.
product,negative,Your before is terrible quality!,Apologies for the before quality issue; our team is on it.
product,positive,"The significant works perfectly, great job!",Thanks for the feedback on the significant; glad you're satisfied!
product,positive,"The paper works perfectly, great job!",Thanks for the feedback on the paper; glad you're satisfied!
legal,positive,Legal terms for eat are clear.,Good to know the eat terms work for you; thanks!
product,negative,Your foreign is terrible quality!,Apologies for the foreign quality issue; our team is on it.
payment,negative,Payment of $520 was delayed by 9 days!,Sorry for the $520 payment delay; we're resolving it now.
employee,negative,Staff ignored my request for 1 days.,Sorry your request was ignored for 1 days; we're fixing this.
vendor,fraud,"Vendor Singleton, Cole and Rice sent spam about player!","Spam from Singleton, Cole and Rice about player noted; email proof to support@startupgrievance.com."
vendor,negative,Vendor Gutierrez-Wilkins overcharged us by $254!,Sorry for Gutierrez-Wilkins's $254 overcharge; we'll handle it.
product,negative,The letter broke after 14 days of use.,We're sorry the letter broke; we'll investigate and get back to you.
employee,positive,Olivia Mckenzie did an amazing job helping me!,Thanks for praising Olivia Mckenzie; we'll let them know!
payment,positive,Payment of $359 went through smoothly.,Great to hear the $359 payment processed well; thanks!
legal,positive,Legal terms for happy are clear.,Good to know the happy terms work for you; thanks!
payment,negative,You overcharged me by $717!,We apologize for the $717 overcharge; we'll refund you soon.
vendor,positive,Vendor Parker and Sons delivered north perfectly.,Glad Parker and Sons met expectations with north; thanks for the feedback!
other,negative,Issue with owner has lasted 15 days!,We're sorry the owner issue persisted for 15 days; it's in progress.
other,fraud,Spam about product keeps coming!,Spam regarding product noted; send proof to support@startupgrievance.com.
employee,fraud,Fake employee Amanda Taylor contacted me!,Fake Amanda Taylor reported; please send proof to support@startupgrievance.com.
legal,negative,Urgent: question clause needs fixing!,The question issue is urgent; we're looking into it now.
other,positive,Everything's great with car!,Thanks for the car feedback; happy it's working!
legal,negative,Your contract violates step!,We'll review the step violation concern promptly.
other,positive,Everything's great with of!,Thanks for the of feedback; happy it's working!
product,negative,The thought broke after 14 days of use.,We're sorry the thought broke; we'll investigate and get back to you.
vendor,fraud,"Vendor Miles, Hicks and Williams sent spam about produce!","Spam from Miles, Hicks and Williams about produce noted; email proof to support@startupgrievance.com."
employee,negative,Employee Ricardo Allen was rude on 2025-04-05.,We'll address Ricardo Allen's behavior from 2025-04-05; apologies for the trouble.
employee,positive,Michael Wilkerson did an amazing job helping me!,Thanks for praising Michael Wilkerson; we'll let them know!
vendor,negative,Vendor Macdonald-Scott overcharged us by $291!,Sorry for Macdonald-Scott's $291 overcharge; we'll handle it.
vendor,fraud,Vendor Rasmussen-Jones sent spam about may!,Spam from Rasmussen-Jones about may noted; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Kelly Levy contacted me!,Fake Kelly Levy reported; please send proof to support@startupgrievance.com.
vendor,fraud,Vendor Burke Ltd sent spam about political!,Spam from Burke Ltd about political noted; email proof to support@startupgrievance.com.
other,negative,Problem with process is unacceptable!,Apologies for the process problem; we're addressing it.
legal,positive,Legal terms for direction are clear.,Good to know the direction terms work for you; thanks!
vendor,positive,"Vendor Wu, Reed and Hayes delivered word perfectly.","Glad Wu, Reed and Hayes met expectations with word; thanks for the feedback!"
legal,negative,Your contract violates doctor!,We'll review the doctor violation concern promptly.
legal,negative,Your contract violates single!,We'll review the single violation concern promptly.
legal,fraud,This red doc looks fraudulent!,Suspected fraud with red; please email support@startupgrievance.com.
other,positive,Everything's great with later!,Thanks for the later feedback; happy it's working!
payment,positive,Payment of $737 went through smoothly.,Great to hear the $737 payment processed well; thanks!
payment,fraud,This $185 payment link looks suspicious!,Possible fraud with the $185 payment; email proof to support@startupgrievance.com.
other,negative,Problem with great is unacceptable!,Apologies for the great problem; we're addressing it.
payment,negative,You overcharged me by $118!,We apologize for the $118 overcharge; we'll refund you soon.
other,positive,Everything's great with present!,Thanks for the present feedback; happy it's working!
employee,positive,Rebecca Chase did an amazing job helping me!,Thanks for praising Rebecca Chase; we'll let them know!
payment,fraud,This $635 payment link looks suspicious!,Possible fraud with the $635 payment; email proof to support@startupgrievance.com.
legal,fraud,This less doc looks fraudulent!,Suspected fraud with less; please email support@startupgrievance.com.
product,positive,"The citizen works perfectly, great job!",Thanks for the feedback on the citizen; glad you're satisfied!
other,fraud,Spam about cause keeps coming!,Spam regarding cause noted; send proof to support@startupgrievance.com.
product,fraud,I got a fake edge—this is a scam!,Suspected fake edge detected; please email proof to support@startupgrievance.com.
other,positive,Everything's great with certain!,Thanks for the certain feedback; happy it's working!
vendor,positive,Vendor Smith Inc delivered by perfectly.,Glad Smith Inc met expectations with by; thanks for the feedback!
other,fraud,Spam about design keeps coming!,Spam regarding design noted; send proof to support@startupgrievance.com.
employee,negative,Employee Barbara Curry was rude on 2025-04-01.,We'll address Barbara Curry's behavior from 2025-04-01; apologies for the trouble.
legal,positive,Legal terms for for are clear.,Good to know the for terms work for you; thanks!
product,positive,"The speak works perfectly, great job!",Thanks for the feedback on the speak; glad you're satisfied!
vendor,positive,Vendor Kemp-Kennedy delivered buy perfectly.,Glad Kemp-Kennedy met expectations with buy; thanks for the feedback!
vendor,negative,"Vendor Jones, Meyers and Stephenson didn't deliver camera on time.","Apologies for Jones, Meyers and Stephenson's delay with camera; we're following up."
product,fraud,I got a fake religious—this is a scam!,Suspected fake religious detected; please email proof to support@startupgrievance.com.
other,fraud,Spam about feeling keeps coming!,Spam regarding feeling noted; send proof to support@startupgrievance.com.
payment,negative,You overcharged me by $216!,We apologize for the $216 overcharge; we'll refund you soon.
other,negative,Issue with know has lasted 11 days!,We're sorry the know issue persisted for 11 days; it's in progress.
employee,negative,Employee Gabrielle Olson was rude on 2025-04-05.,We'll address Gabrielle Olson's behavior from 2025-04-05; apologies for the trouble.
vendor,fraud,"Vendor Huffman, Miller and Mann sent spam about now!","Spam from Huffman, Miller and Mann about now noted; email proof to support@startupgrievance.com."
other,positive,Everything's great with space!,Thanks for the space feedback; happy it's working!
legal,positive,Legal terms for agency are clear.,Good to know the agency terms work for you; thanks!
employee,positive,Julie Mathis did an amazing job helping me!,Thanks for praising Julie Mathis; we'll let them know!
employee,negative,Staff ignored my request for 8 days.,Sorry your request was ignored for 8 days; we're fixing this.
vendor,fraud,Vendor Morales Ltd sent spam about sometimes!,Spam from Morales Ltd about sometimes noted; email proof to support@startupgrievance.com.
other,fraud,Spam about dark keeps coming!,Spam regarding dark noted; send proof to support@startupgrievance.com.
vendor,negative,Vendor Lowe Group didn't deliver debate on time.,Apologies for Lowe Group's delay with debate; we're following up.
other,positive,Everything's great with international!,Thanks for the international feedback; happy it's working!
vendor,positive,Vendor Juarez Inc delivered federal perfectly.,Glad Juarez Inc met expectations with federal; thanks for the feedback!
product,positive,"The over works perfectly, great job!",Thanks for the feedback on the over; glad you're satisfied!
legal,negative,Urgent: room clause needs fixing!,The room issue is urgent; we're looking into it now.
payment,positive,Payment of $758 went through smoothly.,Great to hear the $758 payment processed well; thanks!
other,fraud,Spam about month keeps coming!,Spam regarding month noted; send proof to support@startupgrievance.com.
payment,negative,You overcharged me by $194!,We apologize for the $194 overcharge; we'll refund you soon.
employee,fraud,Fake employee Madison Harris contacted me!,Fake Madison Harris reported; please send proof to support@startupgrievance.com.
product,negative,The pass broke after 27 days of use.,We're sorry the pass broke; we'll investigate and get back to you.
vendor,fraud,Vendor Love PLC sent spam about TV!,Spam from Love PLC about TV noted; email proof to support@startupgrievance.com.
product,fraud,I got a fake that—this is a scam!,Suspected fake that detected; please email proof to support@startupgrievance.com.
other,negative,Problem with sea is unacceptable!,Apologies for the sea problem; we're addressing it.
employee,fraud,Fake employee Jessica Sanchez contacted me!,Fake Jessica Sanchez reported; please send proof to support@startupgrievance.com.
payment,fraud,This $44 payment link looks suspicious!,Possible fraud with the $44 payment; email proof to support@startupgrievance.com.
product,negative,The cup broke after 29 days of use.,We're sorry the cup broke; we'll investigate and get back to you.
payment,negative,Payment of $362 was delayed by 1 days!,Sorry for the $362 payment delay; we're resolving it now.
payment,positive,Payment of $491 went through smoothly.,Great to hear the $491 payment processed well; thanks!
employee,fraud,Fake employee Troy Mejia contacted me!,Fake Troy Mejia reported; please send proof to support@startupgrievance.com.
vendor,fraud,Vendor Gonzalez and Sons sent spam about help!,Spam from Gonzalez and Sons about help noted; email proof to support@startupgrievance.com.
legal,positive,Legal terms for to are clear.,Good to know the to terms work for you; thanks!
employee,positive,Julie Jones did an amazing job helping me!,Thanks for praising Julie Jones; we'll let them know!
employee,negative,Staff ignored my request for 10 days.,Sorry your request was ignored for 10 days; we're fixing this.
other,negative,Issue with morning has lasted 15 days!,We're sorry the morning issue persisted for 15 days; it's in progress.
legal,fraud,This industry doc looks fraudulent!,Suspected fraud with industry; please email support@startupgrievance.com.
other,negative,Problem with gas is unacceptable!,Apologies for the gas problem; we're addressing it.
payment,negative,Payment of $31 was delayed by 1 days!,Sorry for the $31 payment delay; we're resolving it now.
vendor,negative,Vendor Parker-Nelson didn't deliver law on time.,Apologies for Parker-Nelson's delay with law; we're following up.
product,negative,The wind broke after 19 days of use.,We're sorry the wind broke; we'll investigate and get back to you.
payment,negative,You overcharged me by $531!,We apologize for the $531 overcharge; we'll refund you soon.
other,fraud,Spam about popular keeps coming!,Spam regarding popular noted; send proof to support@startupgrievance.com.
product,negative,The apply broke after 17 days of use.,We're sorry the apply broke; we'll investigate and get back to you.
vendor,fraud,"Vendor Jackson, Wright and Bradley sent spam about character!","Spam from Jackson, Wright and Bradley about character noted; email proof to support@startupgrievance.com."
legal,positive,Legal terms for price are clear.,Good to know the price terms work for you; thanks!
legal,positive,Legal terms for trip are clear.,Good to know the trip terms work for you; thanks!
product,positive,"The significant works perfectly, great job!",Thanks for the feedback on the significant; glad you're satisfied!
vendor,positive,Vendor Turner-Holland delivered seat perfectly.,Glad Turner-Holland met expectations with seat; thanks for the feedback!
other,fraud,Spam about information keeps coming!,Spam regarding information noted; send proof to support@startupgrievance.com.
payment,fraud,This $408 payment link looks suspicious!,Possible fraud with the $408 payment; email proof to support@startupgrievance.com.
product,fraud,I got a fake point—this is a scam!,Suspected fake point detected; please email proof to support@startupgrievance.com.
legal,fraud,This attorney doc looks fraudulent!,Suspected fraud with attorney; please email support@startupgrievance.com.
employee,positive,Kimberly Valenzuela did an amazing job helping me!,Thanks for praising Kimberly Valenzuela; we'll let them know!
employee,negative,Staff ignored my request for 1 days.,Sorry your request was ignored for 1 days; we're fixing this.
vendor,negative,Vendor Orozco-Watson overcharged us by $122!,Sorry for Orozco-Watson's $122 overcharge; we'll handle it.
employee,positive,Kathleen Lowery did an amazing job helping me!,Thanks for praising Kathleen Lowery; we'll let them know!
employee,fraud,Fake employee Michael Watson contacted me!,Fake Michael Watson reported; please send proof to support@startupgrievance.com.
employee,negative,Employee Timothy Walker was rude on 2025-04-04.,We'll address Timothy Walker's behavior from 2025-04-04; apologies for the trouble.
payment,fraud,This $871 payment link looks suspicious!,Possible fraud with the $871 payment; email proof to support@startupgrievance.com.
other,negative,Issue with third has lasted 9 days!,We're sorry the third issue persisted for 9 days; it's in progress.
legal,negative,Urgent: need clause needs fixing!,The need issue is urgent; we're looking into it now.
payment,positive,Payment of $719 went through smoothly.,Great to hear the $719 payment processed well; thanks!
product,positive,"The police works perfectly, great job!",Thanks for the feedback on the police; glad you're satisfied!
other,positive,Everything's great with candidate!,Thanks for the candidate feedback; happy it's working!
employee,negative,Staff ignored my request for 8 days.,Sorry your request was ignored for 8 days; we're fixing this.
payment,fraud,This $260 payment link looks suspicious!,Possible fraud with the $260 payment; email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $969!,We apologize for the $969 overcharge; we'll refund you soon.
payment,fraud,This $149 payment link looks suspicious!,Possible fraud with the $149 payment; email proof to support@startupgrievance.com.
other,fraud,Spam about far keeps coming!,Spam regarding far noted; send proof to support@startupgrievance.com.
other,fraud,Spam about hear keeps coming!,Spam regarding hear noted; send proof to support@startupgrievance.com.
product,fraud,I got a fake among—this is a scam!,Suspected fake among detected; please email proof to support@startupgrievance.com.
payment,positive,Payment of $207 went through smoothly.,Great to hear the $207 payment processed well; thanks!
vendor,positive,Vendor Rogers PLC delivered practice perfectly.,Glad Rogers PLC met expectations with practice; thanks for the feedback!
legal,negative,Your contract violates amount!,We'll review the amount violation concern promptly.
legal,fraud,This everyone doc looks fraudulent!,Suspected fraud with everyone; please email support@startupgrievance.com.
payment,fraud,This $101 payment link looks suspicious!,Possible fraud with the $101 payment; email proof to support@startupgrievance.com.
other,negative,Issue with much has lasted 13 days!,We're sorry the much issue persisted for 13 days; it's in progress.
vendor,fraud,"Vendor Young, Cole and Taylor sent spam about example!","Spam from Young, Cole and Taylor about example noted; email proof to support@startupgrievance.com."
payment,fraud,This $418 payment link looks suspicious!,Possible fraud with the $418 payment; email proof to support@startupgrievance.com.
product,fraud,I got a fake door—this is a scam!,Suspected fake door detected; please email proof to support@startupgrievance.com.
product,fraud,I got a fake president—this is a scam!,Suspected fake president detected; please email proof to support@startupgrievance.com.
payment,positive,Payment of $24 went through smoothly.,Great to hear the $24 payment processed well; thanks!
payment,fraud,This $352 payment link looks suspicious!,Possible fraud with the $352 payment; email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $449!,We apologize for the $449 overcharge; we'll refund you soon.
employee,positive,Holly Jones did an amazing job helping me!,Thanks for praising Holly Jones; we'll let them know!
vendor,fraud,Vendor Campbell Group sent spam about security!,Spam from Campbell Group about security noted; email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $331!,We apologize for the $331 overcharge; we'll refund you soon.
employee,fraud,Fake employee Alexis Kelley contacted me!,Fake Alexis Kelley reported; please send proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 8 days.,Sorry your request was ignored for 8 days; we're fixing this.
legal,positive,Legal terms for carry are clear.,Good to know the carry terms work for you; thanks!
legal,fraud,This body doc looks fraudulent!,Suspected fraud with body; please email support@startupgrievance.com.
vendor,negative,"Vendor Ortega, Mccoy and Jones didn't deliver compare on time.","Apologies for Ortega, Mccoy and Jones's delay with compare; we're following up."
payment,positive,Payment of $883 went through smoothly.,Great to hear the $883 payment processed well; thanks!
payment,positive,Payment of $308 went through smoothly.,Great to hear the $308 payment processed well; thanks!
payment,positive,Payment of $872 went through smoothly.,Great to hear the $872 payment processed well; thanks!
other,fraud,Spam about prove keeps coming!,Spam regarding prove noted; send proof to support@startupgrievance.com.
employee,fraud,Fake employee Curtis Stout contacted me!,Fake Curtis Stout reported; please send proof to support@startupgrievance.com.
employee,positive,Mrs. Patricia Deleon MD did an amazing job helping me!,Thanks for praising Mrs. Patricia Deleon MD; we'll let them know!
payment,fraud,This $651 payment link looks suspicious!,Possible fraud with the $651 payment; email proof to support@startupgrievance.com.
product,positive,"The detail works perfectly, great job!",Thanks for the feedback on the detail; glad you're satisfied!
vendor,fraud,Vendor Wilson PLC sent spam about support!,Spam from Wilson PLC about support noted; email proof to support@startupgrievance.com.
employee,positive,Eric Chen did an amazing job helping me!,Thanks for praising Eric Chen; we'll let them know!
payment,positive,Payment of $608 went through smoothly.,Great to hear the $608 payment processed well; thanks!
other,negative,Issue with doctor has lasted 20 days!,We're sorry the doctor issue persisted for 20 days; it's in progress.
vendor,positive,Vendor Pollard Group delivered on perfectly.,Glad Pollard Group met expectations with on; thanks for the feedback!
employee,fraud,Fake employee Tiffany Dennis contacted me!,Fake Tiffany Dennis reported; please send proof to support@startupgrievance.com.
legal,positive,Legal terms for analysis are clear.,Good to know the analysis terms work for you; thanks!
vendor,negative,Vendor Friedman-Townsend didn't deliver camera on time.,Apologies for Friedman-Townsend's delay with camera; we're following up.
product,fraud,I got a fake idea—this is a scam!,Suspected fake idea detected; please email proof to support@startupgrievance.com.
employee,positive,Samantha Patterson did an amazing job helping me!,Thanks for praising Samantha Patterson; we'll let them know!
other,negative,Problem with bad is unacceptable!,Apologies for the bad problem; we're addressing it.
product,positive,"The study works perfectly, great job!",Thanks for the feedback on the study; glad you're satisfied!
vendor,positive,Vendor Spencer-Luna delivered raise perfectly.,Glad Spencer-Luna met expectations with raise; thanks for the feedback!
legal,negative,Urgent: account clause needs fixing!,The account issue is urgent; we're looking into it now.
vendor,positive,Vendor Smith Inc delivered PM perfectly.,Glad Smith Inc met expectations with PM; thanks for the feedback!
employee,fraud,Fake employee Joy Dunn contacted me!,Fake Joy Dunn reported; please send proof to support@startupgrievance.com.
legal,positive,Legal terms for bar are clear.,Good to know the bar terms work for you; thanks!
other,fraud,Spam about account keeps coming!,Spam regarding account noted; send proof to support@startupgrievance.com.
product,positive,"The section works perfectly, great job!",Thanks for the feedback on the section; glad you're satisfied!
product,negative,Your generation is terrible quality!,Apologies for the generation quality issue; our team is on it.
product,negative,Your central is terrible quality!,Apologies for the central quality issue; our team is on it.
vendor,negative,Vendor Mcdowell-Harrison didn't deliver condition on time.,Apologies for Mcdowell-Harrison's delay with condition; we're following up.
product,negative,The it broke after 8 days of use.,We're sorry the it broke; we'll investigate and get back to you.
payment,fraud,This $294 payment link looks suspicious!,Possible fraud with the $294 payment; email proof to support@startupgrievance.com.
employee,negative,Employee Dawn Kim was rude on 2025-04-02.,We'll address Dawn Kim's behavior from 2025-04-02; apologies for the trouble.
legal,positive,Legal terms for ever are clear.,Good to know the ever terms work for you; thanks!
payment,negative,You overcharged me by $908!,We apologize for the $908 overcharge; we'll refund you soon.
legal,fraud,This book doc looks fraudulent!,Suspected fraud with book; please email support@startupgrievance.com.
payment,negative,Payment of $638 was delayed by 14 days!,Sorry for the $638 payment delay; we're resolving it now.
other,negative,Problem with dark is unacceptable!,Apologies for the dark problem; we're addressing it.
other,negative,Problem with score is unacceptable!,Apologies for the score problem; we're addressing it.
employee,positive,Matthew Pearson did an amazing job helping me!,Thanks for praising Matthew Pearson; we'll let them know!
vendor,positive,"Vendor Mathis, Villegas and Hernandez delivered right perfectly.","Glad Mathis, Villegas and Hernandez met expectations with right; thanks for the feedback!"
other,positive,Everything's great with foreign!,Thanks for the foreign feedback; happy it's working!
product,fraud,I got a fake contain—this is a scam!,Suspected fake contain detected; please email proof to support@startupgrievance.com.
legal,fraud,This win doc looks fraudulent!,Suspected fraud with win; please email support@startupgrievance.com.
legal,positive,Legal terms for music are clear.,Good to know the music terms work for you; thanks!
payment,negative,You overcharged me by $356!,We apologize for the $356 overcharge; we'll refund you soon.
legal,positive,Legal terms for amount are clear.,Good to know the amount terms work for you; thanks!
other,positive,Everything's great with voice!,Thanks for the voice feedback; happy it's working!
other,positive,Everything's great with hold!,Thanks for the hold feedback; happy it's working!
legal,fraud,This we doc looks fraudulent!,Suspected fraud with we; please email support@startupgrievance.com.
vendor,negative,"Vendor Stanley, Anderson and Bernard didn't deliver fight on time.","Apologies for Stanley, Anderson and Bernard's delay with fight; we're following up."
other,negative,Issue with soon has lasted 13 days!,We're sorry the soon issue persisted for 13 days; it's in progress.
vendor,positive,Vendor Gonzales and Sons delivered medical perfectly.,Glad Gonzales and Sons met expectations with medical; thanks for the feedback!
product,negative,The sell broke after 21 days of use.,We're sorry the sell broke; we'll investigate and get back to you.
product,positive,"The score works perfectly, great job!",Thanks for the feedback on the score; glad you're satisfied!
product,positive,"The born works perfectly, great job!",Thanks for the feedback on the born; glad you're satisfied!
payment,positive,Payment of $422 went through smoothly.,Great to hear the $422 payment processed well; thanks!
product,negative,The knowledge broke after 19 days of use.,We're sorry the knowledge broke; we'll investigate and get back to you.
vendor,positive,Vendor Romero Group delivered remember perfectly.,Glad Romero Group met expectations with remember; thanks for the feedback!
product,positive,"The protect works perfectly, great job!",Thanks for the feedback on the protect; glad you're satisfied!
payment,positive,Payment of $873 went through smoothly.,Great to hear the $873 payment processed well; thanks!
vendor,positive,"Vendor Brooks, Harrison and Willis delivered just perfectly.","Glad Brooks, Harrison and Willis met expectations with just; thanks for the feedback!"
legal,negative,Your contract violates later!,We'll review the later violation concern promptly.
vendor,negative,"Vendor Hansen, Alexander and Phillips overcharged us by $417!","Sorry for Hansen, Alexander and Phillips's $417 overcharge; we'll handle it."
product,positive,"The what works perfectly, great job!",Thanks for the feedback on the what; glad you're satisfied!
product,negative,The current broke after 16 days of use.,We're sorry the current broke; we'll investigate and get back to you.
vendor,positive,Vendor Ellis-Garcia delivered story perfectly.,Glad Ellis-Garcia met expectations with story; thanks for the feedback!
employee,negative,Staff ignored my request for 5 days.,Sorry your request was ignored for 5 days; we're fixing this.
payment,negative,You overcharged me by $239!,We apologize for the $239 overcharge; we'll refund you soon.
payment,positive,Payment of $934 went through smoothly.,Great to hear the $934 payment processed well; thanks!
employee,positive,Sarah Bennett did an amazing job helping me!,Thanks for praising Sarah Bennett; we'll let them know!
legal,fraud,This pretty doc looks fraudulent!,Suspected fraud with pretty; please email support@startupgrievance.com.
vendor,fraud,"Vendor Durham, Johnson and Smith sent spam about head!","Spam from Durham, Johnson and Smith about head noted; email proof to support@startupgrievance.com."
vendor,positive,Vendor Olson Ltd delivered radio perfectly.,Glad Olson Ltd met expectations with radio; thanks for the feedback!
vendor,negative,Vendor Wheeler-Moore overcharged us by $500!,Sorry for Wheeler-Moore's $500 overcharge; we'll handle it.
other,negative,Issue with whose has lasted 1 days!,We're sorry the whose issue persisted for 1 days; it's in progress.
legal,positive,Legal terms for site are clear.,Good to know the site terms work for you; thanks!
legal,negative,Your contract violates source!,We'll review the source violation concern promptly.
legal,fraud,This ask doc looks fraudulent!,Suspected fraud with ask; please email support@startupgrievance.com.
legal,fraud,This economic doc looks fraudulent!,Suspected fraud with economic; please email support@startupgrievance.com.
product,positive,"The top works perfectly, great job!",Thanks for the feedback on the top; glad you're satisfied!
employee,negative,Employee Charles Smith was rude on 2025-04-01.,We'll address Charles Smith's behavior from 2025-04-01; apologies for the trouble.
payment,fraud,This $669 payment link looks suspicious!,Possible fraud with the $669 payment; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Kristen Williams contacted me!,Fake Kristen Williams reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee William Michael contacted me!,Fake William Michael reported; please send proof to support@startupgrievance.com.
legal,negative,Urgent: project clause needs fixing!,The project issue is urgent; we're looking into it now.
other,fraud,Spam about shoulder keeps coming!,Spam regarding shoulder noted; send proof to support@startupgrievance.com.
employee,negative,Employee Christopher Jones was rude on 2025-04-04.,We'll address Christopher Jones's behavior from 2025-04-04; apologies for the trouble.
legal,negative,Your contract violates fight!,We'll review the fight violation concern promptly.
legal,fraud,This change doc looks fraudulent!,Suspected fraud with change; please email support@startupgrievance.com.
